"time_posixct";"nino34CE0";"CE0_Plus0_5";"CE0_Moins0_5";"CE0_Nino";"CE0_Nina";"CE0_Episode";"CE0_EpisodeNum"
2050-02-15;-1.341064453125;0;-1;"0";"0";"Neutre";0
2050-03-15;-0.788330078125;0;-1;"0";"0";"Neutre";0
2050-04-15;-0.400390625;0;0;"0";"0";"Neutre";0
2050-05-15;-0.345703125;0;0;"0";"0";"Neutre";0
2050-06-15;-0.3759765625;0;0;"0";"0";"Neutre";0
2050-07-15;-0.435791015625;0;0;"0";"0";"Neutre";0
2050-08-15;-0.2607421875;0;0;"0";"0";"Neutre";0
2050-09-15;-0.072998046875;0;0;"0";"0";"Neutre";0
2050-10-15;-0.01953125;0;0;"0";"0";"Neutre";0
2050-11-15;-0.048583984375;0;0;"0";"0";"Neutre";0
2050-12-15;-0.097412109375;0;0;"0";"0";"Neutre";0
2051-01-15;-0.01416015625;0;0;"0";"0";"Neutre";0
2051-02-15;0.285400390625;0;0;"0";"0";"Neutre";0
2051-03-15;0.62890625;1;0;"0";"0";"Neutre";0
2051-04-15;0.733154296875;1;0;"0";"0";"Neutre";0
2051-05-15;0.5283203125;1;0;"0";"0";"Neutre";0
2051-06-15;0.144775390625;0;0;"0";"0";"Neutre";0
2051-07-15;-0.052978515625;0;0;"0";"0";"Neutre";0
2051-08-15;-0.004638671875;0;0;"0";"0";"Neutre";0
2051-09-15;0.270263671875;0;0;"0";"0";"Neutre";0
2051-10-15;0.595947265625;1;0;"1";"0";"Nino";1
2051-11-15;0.783203125;1;0;"1";"0";"Nino";1
2051-12-15;0.851318359375;1;0;"1";"0";"Nino";1
2052-01-15;0.88427734375;1;0;"1";"0";"Nino";1
2052-02-15;1.112548828125;1;0;"1";"0";"Nino";1
2052-03-15;1.244140625;1;0;"1";"0";"Nino";1
2052-04-15;1.038818359375;1;0;"1";"0";"Nino";1
2052-05-15;0.260009765625;0;0;"0";"0";"Neutre";0
2052-06-15;-0.58984375;0;-1;"0";"1";"Nina";-1
2052-07-15;-1.154052734375;0;-1;"0";"1";"Nina";-1
2052-08-15;-1.314208984375;0;-1;"0";"1";"Nina";-1
2052-09-15;-1.327880859375;0;-1;"0";"1";"Nina";-1
2052-10-15;-1.46630859375;0;-1;"0";"1";"Nina";-1
2052-11-15;-1.713134765625;0;-1;"0";"1";"Nina";-1
2052-12-15;-1.902587890625;0;-1;"0";"1";"Nina";-1
2053-01-15;-1.754150390625;0;-1;"0";"1";"Nina";-1
2053-02-15;-1.32421875;0;-1;"0";"1";"Nina";-1
2053-03-15;-0.796875;0;-1;"0";"1";"Nina";-1
2053-04-15;-0.489990234375;0;0;"0";"0";"Neutre";0
2053-05-15;-0.4951171875;0;0;"0";"0";"Neutre";0
2053-06-15;-0.62890625;0;-1;"0";"0";"Neutre";0
2053-07-15;-0.669677734375;0;-1;"0";"0";"Neutre";0
2053-08-15;-0.541259765625;0;-1;"0";"0";"Neutre";0
2053-09-15;-0.327392578125;0;0;"0";"0";"Neutre";0
2053-10-15;-0.19140625;0;0;"0";"0";"Neutre";0
2053-11-15;-0.09716796875;0;0;"0";"0";"Neutre";0
2053-12-15;-0.01025390625;0;0;"0";"0";"Neutre";0
2054-01-15;0.12890625;0;0;"0";"0";"Neutre";0
2054-02-15;0.363525390625;0;0;"0";"0";"Neutre";0
2054-03-15;0.5390625;1;0;"0";"0";"Neutre";0
2054-04-15;0.544189453125;1;0;"0";"0";"Neutre";0
2054-05-15;0.26611328125;0;0;"0";"0";"Neutre";0
2054-06-15;-0.0927734375;0;0;"0";"0";"Neutre";0
2054-07-15;-0.22216796875;0;0;"0";"0";"Neutre";0
2054-08-15;-0.1357421875;0;0;"0";"0";"Neutre";0
2054-09-15;0.076416015625;0;0;"0";"0";"Neutre";0
2054-10-15;0.218505859375;0;0;"0";"0";"Neutre";0
2054-11-15;0.34228515625;0;0;"0";"0";"Neutre";0
2054-12-15;0.444580078125;0;0;"0";"0";"Neutre";0
2055-01-15;0.6484375;1;0;"1";"0";"Nino";1
2055-02-15;1.014404296875;1;0;"1";"0";"Nino";1
2055-03-15;1.376953125;1;0;"1";"0";"Nino";1
2055-04-15;1.427001953125;1;0;"1";"0";"Nino";1
2055-05-15;1.13818359375;1;0;"1";"0";"Nino";1
2055-06-15;0.81884765625;1;0;"1";"0";"Nino";1
2055-07-15;0.480712890625;0;0;"0";"0";"Neutre";0
2055-08-15;0.23779296875;0;0;"0";"0";"Neutre";0
2055-09-15;-0.005859375;0;0;"0";"0";"Neutre";0
2055-10-15;-0.09619140625;0;0;"0";"0";"Neutre";0
2055-11-15;-0.2958984375;0;0;"0";"0";"Neutre";0
2055-12-15;-0.49072265625;0;0;"0";"0";"Neutre";0
2056-01-15;-0.554931640625;0;-1;"0";"1";"Nina";-1
2056-02-15;-0.516357421875;0;-1;"0";"1";"Nina";-1
2056-03-15;-0.57080078125;0;-1;"0";"1";"Nina";-1
2056-04-15;-0.757568359375;0;-1;"0";"1";"Nina";-1
2056-05-15;-1.1591796875;0;-1;"0";"1";"Nina";-1
2056-06-15;-1.467529296875;0;-1;"0";"1";"Nina";-1
2056-07-15;-1.7021484375;0;-1;"0";"1";"Nina";-1
2056-08-15;-1.646728515625;0;-1;"0";"1";"Nina";-1
2056-09-15;-1.650390625;0;-1;"0";"1";"Nina";-1
2056-10-15;-1.773681640625;0;-1;"0";"1";"Nina";-1
2056-11-15;-1.97314453125;0;-1;"0";"1";"Nina";-1
2056-12-15;-2.05810546875;0;-1;"0";"1";"Nina";-1
2057-01-15;-1.813720703125;0;-1;"0";"1";"Nina";-1
2057-02-15;-1.337890625;0;-1;"0";"1";"Nina";-1
2057-03-15;-0.900634765625;0;-1;"0";"1";"Nina";-1
2057-04-15;-0.7880859375;0;-1;"0";"1";"Nina";-1
2057-05-15;-0.81787109375;0;-1;"0";"1";"Nina";-1
2057-06-15;-0.83349609375;0;-1;"0";"1";"Nina";-1
2057-07-15;-0.747802734375;0;-1;"0";"1";"Nina";-1
2057-08-15;-0.626708984375;0;-1;"0";"1";"Nina";-1
2057-09-15;-0.4765625;0;0;"0";"0";"Neutre";0
2057-10-15;-0.350830078125;0;0;"0";"0";"Neutre";0
2057-11-15;-0.321044921875;0;0;"0";"0";"Neutre";0
2057-12-15;-0.333251953125;0;0;"0";"0";"Neutre";0
2058-01-15;-0.185791015625;0;0;"0";"0";"Neutre";0
2058-02-15;0.19140625;0;0;"0";"0";"Neutre";0
2058-03-15;0.59765625;1;0;"0";"0";"Neutre";0
2058-04-15;0.71435546875;1;0;"0";"0";"Neutre";0
2058-05-15;0.5458984375;1;0;"0";"0";"Neutre";0
2058-06-15;0.2978515625;0;0;"0";"0";"Neutre";0
2058-07-15;0.230712890625;0;0;"0";"0";"Neutre";0
2058-08-15;0.216796875;0;0;"0";"0";"Neutre";0
2058-09-15;0.316650390625;0;0;"0";"0";"Neutre";0
2058-10-15;0.50390625;1;0;"1";"0";"Nino";1
2058-11-15;0.74951171875;1;0;"1";"0";"Nino";1
2058-12-15;0.884765625;1;0;"1";"0";"Nino";1
